customer_age,job_type,housing_loan,personal_loan,education,balance
36.0,technician,no,no,tertiary,393.0
38.0,management,no,no,tertiary,118.0
27.0,technician,yes,yes,secondary,114.0
56.0,management,yes,no,tertiary,4392.0
55.0,admin.,no,no,unknown,259.0
47.0,technician,no,no,secondary,58.0
56.0,self-employed,no,no,secondary,4489.0
30.0,blue-collar,yes,yes,primary,1.0
32.0,services,yes,no,secondary,15.0
39.0,blue-collar,yes,no,secondary,1411.0
53.0,technician,no,no,unknown,5332.0
45.0,admin.,yes,no,secondary,266.0
37.0,admin.,yes,no,tertiary,429.0
72.0,retired,no,no,tertiary,775.0
36.0,blue-collar,yes,no,secondary,365.0
51.0,self-employed,yes,no,secondary,1.0
63.0,retired,no,no,primary,-2.0
35.0,blue-collar,yes,no,primary,-3.0
58.0,admin.,no,no,primary,7000.0
30.0,technician,no,yes,secondary,1076.0
51.0,blue-collar,no,yes,secondary,617.0
32.0,technician,no,no,tertiary,158.0
35.0,management,yes,no,tertiary,70.0
36.0,services,yes,no,secondary,99.0
23.0,student,no,no,tertiary,10083.0
32.0,management,yes,yes,tertiary,855.0
58.0,management,no,yes,secondary,2152.0
35.0,services,no,yes,primary,791.0
42.0,blue-collar,yes,no,primary,250.0
27.0,student,no,no,unknown,2931.0
49.0,blue-collar,no,no,primary,646.0
27.0,blue-collar,yes,no,secondary,1022.0
45.0,entrepreneur,yes,no,primary,61.0
51.0,admin.,yes,no,secondary,-459.0
35.0,blue-collar,yes,no,secondary,310.0
56.0,management,no,yes,tertiary,5402.0
34.0,unemployed,no,no,tertiary,39385.0
30.0,blue-collar,yes,no,secondary,1526.0
30.0,blue-collar,yes,no,secondary,2598.0
71.0,retired,no,no,secondary,-2.0
35.0,management,yes,no,tertiary,574.0
33.0,management,no,no,tertiary,371.0
40.0,blue-collar,yes,no,secondary,379.0
40.0,blue-collar,yes,yes,secondary,561.0
52.0,technician,no,no,tertiary,263.0
45.0,blue-collar,no,no,secondary,133.0
37.0,technician,yes,yes,tertiary,15.0
40.0,technician,yes,yes,tertiary,-215.0
37.0,blue-collar,no,no,secondary,1119.0
31.0,technician,yes,no,secondary,951.0
42.0,blue-collar,yes,yes,primary,561.0
32.0,blue-collar,no,no,primary,-2.0
27.0,services,yes,no,secondary,-112.0
34.0,admin.,no,no,secondary,21.0
54.0,blue-collar,no,no,unknown,6129.0
41.0,admin.,yes,no,secondary,1377.0
51.0,housemaid,no,no,tertiary,44.0
34.0,blue-collar,yes,no,secondary,318.0
33.0,blue-collar,no,no,primary,-3.0
72.0,housemaid,no,no,primary,231.0
29.0,blue-collar,yes,yes,primary,366.0
33.0,management,yes,no,tertiary,3896.0
46.0,unemployed,yes,yes,tertiary,1724.0
40.0,technician,no,no,secondary,828.0
59.0,blue-collar,no,no,secondary,4.0
34.0,blue-collar,yes,no,secondary,-52.0
32.0,blue-collar,yes,no,secondary,89.0
37.0,management,yes,no,tertiary,-44.0
29.0,technician,yes,no,tertiary,2975.0
57.0,retired,no,no,unknown,1490.0
37.0,blue-collar,yes,no,primary,-240.0
46.0,services,no,yes,primary,2806.0
59.0,management,yes,no,tertiary,462.0
41.0,admin.,yes,no,secondary,2659.0
34.0,management,yes,no,secondary,795.0
47.0,housemaid,no,no,primary,890.0
46.0,technician,yes,no,secondary,-78.0
38.0,blue-collar,yes,no,primary,106.0
54.0,technician,yes,no,secondary,1751.0
38.0,services,yes,no,secondary,-432.0
32.0,self-employed,yes,yes,tertiary,540.0
69.0,retired,no,no,primary,8468.0
56.0,technician,yes,no,secondary,85.0
55.0,management,no,no,tertiary,476.0
33.0,self-employed,no,no,tertiary,446.0
37.0,technician,yes,no,tertiary,6886.0
48.0,management,yes,yes,tertiary,1171.0
43.0,blue-collar,yes,no,primary,6593.0
27.0,unemployed,no,yes,secondary,38.0
25.0,self-employed,no,no,tertiary,28.0
58.0,technician,yes,no,secondary,794.0
50.0,admin.,yes,no,secondary,238.0
35.0,blue-collar,yes,no,secondary,4966.0
51.0,blue-collar,no,no,primary,1459.0
33.0,management,yes,no,tertiary,-160.0
30.0,services,yes,no,secondary,-161.0
50.0,management,yes,no,tertiary,224.0
37.0,management,no,no,tertiary,1646.0
39.0,management,no,no,tertiary,2278.0
47.0,management,yes,no,tertiary,99.0
38.0,technician,yes,no,secondary,27.0
58.0,blue-collar,no,no,secondary,10055.0
37.0,technician,yes,no,secondary,1264.0
33.0,blue-collar,no,no,primary,777.0
40.0,entrepreneur,yes,no,secondary,985.0
37.0,management,no,no,tertiary,2462.0
58.0,self-employed,no,no,secondary,2105.0
62.0,retired,no,yes,secondary,1136.0
34.0,services,yes,no,secondary,4430.0
59.0,housemaid,no,no,primary,1137.0
52.0,management,no,yes,tertiary,1596.0
57.0,retired,no,no,secondary,2203.0
49.0,self-employed,yes,no,secondary,214.0
28.0,self-employed,yes,yes,tertiary,3.0
48.0,admin.,yes,no,secondary,77.0
34.0,management,no,no,tertiary,301.0
32.0,blue-collar,yes,no,secondary,717.0
51.0,technician,yes,no,secondary,6167.0
37.0,blue-collar,yes,no,primary,948.0
47.0,services,yes,no,secondary,386.0
52.0,blue-collar,no,no,unknown,7558.0
24.0,management,no,no,tertiary,831.0
31.0,unemployed,yes,no,secondary,2991.0
37.0,services,yes,no,secondary,728.0
51.0,services,yes,no,secondary,15.0
32.0,self-employed,yes,no,tertiary,560.0
51.0,management,no,no,tertiary,11999.0
33.0,management,yes,no,tertiary,383.0
37.0,management,no,no,tertiary,2690.0
31.0,technician,no,no,secondary,288.0
43.0,admin.,yes,no,secondary,449.0
53.0,management,no,no,tertiary,1387.0
37.0,unemployed,no,no,secondary,-36.0
50.0,management,no,no,tertiary,2481.0
34.0,management,yes,no,tertiary,11153.0
49.0,admin.,no,no,secondary,801.0
21.0,admin.,no,yes,tertiary,243.0
35.0,management,yes,yes,tertiary,442.0
41.0,services,yes,no,secondary,183.0
34.0,self-employed,no,no,tertiary,1.0
34.0,blue-collar,yes,no,secondary,-318.0
26.0,blue-collar,yes,no,secondary,781.0
32.0,admin.,yes,no,secondary,1297.0
44.0,management,yes,no,primary,-420.0
49.0,management,no,no,tertiary,1763.0
38.0,blue-collar,yes,no,primary,46.0
61.0,housemaid,no,no,primary,11.0
36.0,services,yes,yes,tertiary,801.0
33.0,technician,yes,no,secondary,1742.0
34.0,management,no,no,tertiary,4946.0
32.0,admin.,yes,no,tertiary,38.0
43.0,management,yes,no,secondary,447.0
31.0,technician,no,no,tertiary,5516.0
51.0,management,yes,no,tertiary,915.0
51.0,services,no,no,secondary,1.0
35.0,management,no,yes,tertiary,118.0
39.0,blue-collar,yes,no,secondary,411.0
59.0,management,yes,no,tertiary,1613.0
44.0,admin.,no,yes,secondary,291.0
30.0,services,yes,no,tertiary,1595.0
29.0,blue-collar,no,yes,primary,641.0
55.0,retired,no,no,tertiary,13090.0
62.0,retired,no,no,secondary,1096.0
34.0,technician,no,no,secondary,658.0
56.0,housemaid,no,no,secondary,-5.0
38.0,technician,no,no,secondary,2.0
24.0,services,yes,yes,secondary,115.0
39.0,management,no,no,tertiary,1850.0
32.0,unemployed,no,no,secondary,20.0
28.0,blue-collar,yes,no,secondary,7771.0
30.0,services,yes,no,primary,1019.0
31.0,technician,yes,yes,secondary,-3.0
32.0,blue-collar,yes,no,secondary,-98.0
58.0,services,yes,no,secondary,-756.0
38.0,blue-collar,yes,no,secondary,39.0
33.0,technician,no,no,secondary,863.0
37.0,admin.,no,no,tertiary,635.0
25.0,technician,yes,no,secondary,2034.0
43.0,technician,yes,no,secondary,10890.0
44.0,technician,no,no,secondary,77.0
37.0,unemployed,yes,no,secondary,568.0
33.0,admin.,yes,no,tertiary,257.0
36.0,unemployed,no,no,secondary,8268.0
60.0,management,no,no,secondary,146.0
49.0,technician,yes,no,secondary,641.0
20.0,blue-collar,yes,no,secondary,100.0
40.0,management,no,no,tertiary,175.0
43.0,management,yes,no,tertiary,1058.0
61.0,admin.,yes,no,unknown,4628.0
29.0,technician,no,no,secondary,892.0
33.0,blue-collar,yes,no,primary,-365.0
49.0,services,no,no,secondary,166.0
39.0,management,no,no,tertiary,1979.0
36.0,services,no,yes,secondary,109.0
35.0,self-employed,yes,no,tertiary,12.0
29.0,technician,yes,no,secondary,402.0
40.0,self-employed,yes,no,tertiary,3950.0
40.0,technician,yes,no,tertiary,429.0
40.0,services,yes,no,secondary,906.0
49.0,technician,no,no,tertiary,915.0
31.0,management,yes,no,tertiary,16919.0
29.0,blue-collar,yes,no,secondary,0.0
44.0,services,no,no,secondary,1518.0
50.0,blue-collar,no,no,secondary,547.0
75.0,retired,no,no,unknown,0.0
43.0,blue-collar,yes,no,primary,250.0
38.0,admin.,yes,no,unknown,892.0
30.0,admin.,yes,no,secondary,-427.0
58.0,unemployed,no,no,secondary,565.0
32.0,technician,yes,no,secondary,436.0
37.0,blue-collar,yes,yes,secondary,4.0
47.0,admin.,no,no,secondary,3621.0
32.0,admin.,yes,no,secondary,624.0
28.0,blue-collar,yes,no,primary,12.0
44.0,entrepreneur,yes,no,primary,559.0
43.0,blue-collar,yes,no,primary,-55.0
28.0,entrepreneur,yes,no,secondary,2549.0
58.0,retired,no,no,secondary,1890.0
59.0,housemaid,yes,no,primary,-186.0
43.0,admin.,yes,yes,secondary,1811.0
29.0,management,yes,no,tertiary,4323.0
24.0,student,no,no,secondary,432.0
50.0,technician,no,no,secondary,43.0
43.0,services,no,no,tertiary,876.0
54.0,blue-collar,yes,no,primary,131.0
24.0,services,yes,no,secondary,2044.0
38.0,admin.,no,yes,secondary,0.0
28.0,management,no,no,tertiary,189.0
27.0,services,yes,no,secondary,338.0
48.0,technician,no,no,secondary,908.0
31.0,management,no,yes,tertiary,432.0
22.0,student,yes,no,tertiary,551.0
33.0,admin.,yes,no,tertiary,2315.0
39.0,technician,yes,no,secondary,1444.0
41.0,self-employed,no,no,tertiary,580.0
43.0,blue-collar,yes,no,secondary,-74.0
57.0,management,yes,no,secondary,236.0
37.0,blue-collar,no,yes,unknown,-3.0
34.0,management,yes,no,tertiary,287.0
37.0,services,no,no,secondary,-193.0
40.0,blue-collar,yes,no,primary,-360.0
49.0,technician,no,no,unknown,562.0
57.0,blue-collar,yes,no,primary,191.0
39.0,blue-collar,yes,no,secondary,346.0
46.0,unemployed,no,no,primary,801.0
50.0,technician,no,yes,secondary,-31.0
29.0,management,yes,no,tertiary,1839.0
54.0,services,no,no,primary,1895.0
42.0,technician,no,no,secondary,865.0
32.0,blue-collar,no,no,secondary,4.0
39.0,services,yes,yes,secondary,306.0
34.0,management,yes,no,secondary,175.0
58.0,retired,no,no,primary,905.0
41.0,blue-collar,yes,no,unknown,728.0
50.0,services,yes,yes,primary,639.0
43.0,blue-collar,no,no,unknown,820.0
34.0,blue-collar,yes,no,primary,606.0
29.0,technician,yes,yes,secondary,-145.0
27.0,self-employed,no,no,secondary,284.0
26.0,management,no,no,tertiary,790.0
71.0,retired,no,no,primary,4851.0
55.0,services,yes,no,unknown,1007.0
38.0,management,yes,no,secondary,1155.0
29.0,admin.,yes,no,secondary,64.0
68.0,retired,no,no,unknown,2535.0
37.0,management,yes,no,tertiary,1507.0
49.0,blue-collar,yes,no,primary,352.0
52.0,management,yes,no,primary,876.0
29.0,management,no,no,tertiary,267.0
34.0,management,no,no,tertiary,691.0
46.0,blue-collar,yes,yes,primary,-3.0
42.0,blue-collar,yes,no,secondary,-434.0
47.0,admin.,yes,no,secondary,-187.0
50.0,housemaid,yes,no,primary,2256.0
27.0,blue-collar,no,no,secondary,2006.0
40.0,admin.,yes,yes,tertiary,7.0
35.0,student,yes,no,unknown,39.0
29.0,technician,yes,no,tertiary,933.0
27.0,blue-collar,yes,no,primary,41.0
47.0,housemaid,no,no,secondary,1383.0
33.0,student,no,no,tertiary,3213.0
26.0,unemployed,no,yes,secondary,36.0
62.0,retired,no,no,secondary,10.0
32.0,management,yes,no,tertiary,778.0
35.0,blue-collar,no,no,primary,2.0
32.0,technician,yes,no,tertiary,4518.0
32.0,services,yes,no,secondary,153.0
34.0,self-employed,yes,no,tertiary,631.0
86.0,retired,no,no,primary,2621.0
30.0,services,no,yes,secondary,9723.0
34.0,admin.,yes,no,secondary,668.0
61.0,housemaid,no,no,primary,419.0
42.0,blue-collar,yes,no,unknown,20.0
24.0,blue-collar,no,no,secondary,191.0
46.0,self-employed,no,no,secondary,8.0
59.0,self-employed,yes,no,primary,1014.0
57.0,management,yes,yes,tertiary,-77.0
73.0,retired,no,no,primary,3053.0
39.0,management,yes,no,tertiary,567.0
31.0,management,no,no,tertiary,74.0
45.0,self-employed,no,no,primary,1284.0
54.0,blue-collar,yes,no,primary,1004.0
33.0,blue-collar,yes,no,secondary,3840.0
36.0,management,no,yes,tertiary,637.0
42.0,admin.,no,no,secondary,1203.0
43.0,services,yes,no,secondary,-80.0
38.0,blue-collar,yes,no,secondary,25.0
49.0,blue-collar,yes,yes,secondary,3437.0
34.0,management,no,no,tertiary,249.0
30.0,blue-collar,no,no,secondary,57.0
30.0,student,yes,no,secondary,114.0
27.0,services,yes,no,secondary,90.0
42.0,technician,no,no,secondary,192.0
30.0,entrepreneur,no,no,tertiary,94.0
48.0,services,yes,no,secondary,1699.0
51.0,blue-collar,yes,no,primary,1165.0
54.0,technician,yes,no,secondary,1708.0
28.0,technician,no,yes,secondary,-119.0
38.0,technician,no,no,secondary,3026.0
55.0,blue-collar,no,no,primary,3875.0
44.0,self-employed,yes,no,primary,62.0
27.0,services,no,no,secondary,203.0
31.0,management,no,no,tertiary,927.0
33.0,blue-collar,yes,no,secondary,2.0
38.0,blue-collar,yes,no,secondary,-4.0
41.0,blue-collar,yes,no,primary,399.0
48.0,admin.,yes,no,secondary,5811.0
34.0,technician,yes,no,secondary,494.0
31.0,management,yes,no,tertiary,48.0
42.0,blue-collar,no,no,secondary,170.0
38.0,blue-collar,yes,no,secondary,111.0
38.0,management,yes,no,tertiary,2.0
36.0,technician,yes,no,tertiary,7542.0
31.0,housemaid,yes,no,tertiary,8.0
33.0,technician,yes,no,tertiary,6529.0
42.0,blue-collar,no,no,primary,1005.0
27.0,technician,yes,no,tertiary,2891.0
80.0,retired,no,no,secondary,629.0
31.0,blue-collar,yes,no,secondary,1294.0
57.0,management,no,no,tertiary,7802.0
46.0,blue-collar,no,no,secondary,1948.0
58.0,management,no,no,tertiary,1601.0
46.0,blue-collar,yes,no,primary,200.0
51.0,technician,no,no,secondary,1407.0
36.0,admin.,yes,no,secondary,1765.0
33.0,technician,no,no,secondary,-259.0
35.0,technician,yes,no,secondary,789.0
49.0,blue-collar,no,yes,primary,196.0
42.0,technician,no,no,secondary,-2.0
74.0,retired,no,no,primary,254.0
34.0,technician,yes,no,secondary,707.0
30.0,technician,yes,yes,secondary,474.0
31.0,services,yes,yes,secondary,344.0
28.0,admin.,no,no,tertiary,-194.0
57.0,retired,no,no,secondary,648.0
31.0,admin.,yes,no,secondary,385.0
34.0,blue-collar,yes,no,secondary,1261.0
43.0,blue-collar,no,no,primary,3919.0
60.0,retired,no,yes,secondary,76.0
28.0,technician,yes,no,secondary,1234.0
42.0,management,no,no,tertiary,41629.0
35.0,blue-collar,no,no,secondary,134.0
58.0,admin.,no,no,secondary,3931.0
44.0,technician,no,no,secondary,483.0
46.0,blue-collar,no,no,primary,148.0
38.0,blue-collar,yes,no,secondary,2846.0
56.0,retired,no,no,secondary,307.0
32.0,technician,yes,yes,secondary,-4.0
30.0,technician,yes,no,secondary,260.0
54.0,admin.,yes,no,primary,2251.0
57.0,blue-collar,no,no,secondary,279.0
47.0,services,yes,no,primary,1496.0
46.0,blue-collar,no,yes,primary,-84.0
34.0,management,no,no,tertiary,2278.0
28.0,technician,no,no,tertiary,4.0
35.0,self-employed,no,no,tertiary,6443.0
44.0,blue-collar,yes,no,primary,655.0
50.0,management,no,no,secondary,122.0
34.0,management,no,no,secondary,-2.0
27.0,admin.,no,yes,secondary,334.0
29.0,technician,no,no,secondary,-1.0
53.0,management,no,no,secondary,11653.0
25.0,admin.,yes,no,secondary,286.0
22.0,technician,no,no,tertiary,395.0
36.0,services,yes,yes,secondary,1323.0
31.0,technician,yes,yes,secondary,1569.0
45.0,blue-collar,yes,no,secondary,1269.0
29.0,admin.,yes,no,secondary,294.0
37.0,blue-collar,no,no,secondary,88.0
48.0,unemployed,yes,no,secondary,520.0
55.0,unemployed,no,no,secondary,967.0
35.0,management,yes,no,tertiary,-3.0
34.0,management,no,no,tertiary,207.0
36.0,admin.,no,no,secondary,596.0
37.0,blue-collar,no,no,primary,192.0
28.0,management,no,no,tertiary,381.0
41.0,services,yes,no,secondary,492.0
50.0,admin.,no,no,secondary,4508.0
36.0,technician,yes,yes,tertiary,19.0
30.0,technician,yes,yes,tertiary,-808.0
59.0,retired,yes,no,secondary,-4.0
54.0,management,no,no,tertiary,1254.0
47.0,technician,no,no,tertiary,211.0
32.0,technician,no,no,tertiary,1079.0
84.0,retired,no,no,tertiary,4.0
34.0,blue-collar,no,no,secondary,318.0
37.0,services,yes,no,secondary,221.0
32.0,self-employed,no,no,secondary,-3.0
57.0,housemaid,no,no,unknown,5419.0
42.0,unknown,no,no,unknown,1234.0
34.0,blue-collar,yes,no,primary,3239.0
24.0,blue-collar,yes,yes,secondary,-185.0
36.0,admin.,yes,no,secondary,21.0
35.0,admin.,yes,no,secondary,15.0
34.0,management,no,yes,tertiary,90.0
38.0,housemaid,no,no,primary,979.0
47.0,unemployed,no,no,secondary,2.0
37.0,blue-collar,yes,no,unknown,601.0
29.0,management,no,no,tertiary,2543.0
32.0,management,no,no,tertiary,-5.0
54.0,management,no,yes,tertiary,756.0
46.0,management,no,no,tertiary,13498.0
29.0,technician,yes,no,secondary,1534.0
56.0,management,yes,no,unknown,526.0
34.0,unemployed,no,no,secondary,172.0
38.0,management,yes,no,tertiary,9578.0
30.0,blue-collar,yes,no,primary,81.0
29.0,blue-collar,yes,no,secondary,159.0
41.0,admin.,yes,yes,secondary,394.0
26.0,management,yes,no,tertiary,198.0
54.0,retired,yes,no,secondary,1.0
55.0,technician,yes,no,secondary,222.0
31.0,admin.,yes,no,secondary,1010.0
39.0,management,yes,no,tertiary,987.0
31.0,student,yes,no,secondary,192.0
34.0,student,yes,no,tertiary,251.0
26.0,admin.,yes,no,secondary,-93.0
32.0,entrepreneur,yes,no,tertiary,729.0
24.0,entrepreneur,yes,yes,tertiary,37.0
48.0,blue-collar,no,no,primary,1305.0
30.0,blue-collar,yes,no,secondary,285.0
